match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,season
308,1,Chennai Super Kings,Mumbai Indians,6,5,M Vijay,SK Raina,JEC Franklin,0,0,0,0,0,0,0,0,0,M Vijay,caught,Harbhajan Singh,2012
308,1,Chennai Super Kings,Mumbai Indians,6,6,DJ Bravo,SK Raina,JEC Franklin,0,0,0,4,0,0,0,4,4,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,1,SK Raina,DJ Bravo,Harbhajan Singh,0,1,0,0,0,0,0,1,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,2,SK Raina,DJ Bravo,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,3,DJ Bravo,SK Raina,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,4,DJ Bravo,SK Raina,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,5,DJ Bravo,SK Raina,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,6,SK Raina,DJ Bravo,Harbhajan Singh,0,1,0,0,0,0,0,1,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,7,SK Raina,DJ Bravo,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,7,8,DJ Bravo,SK Raina,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,8,1,DJ Bravo,SK Raina,JEC Franklin,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,8,2,DJ Bravo,SK Raina,JEC Franklin,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,8,3,SK Raina,DJ Bravo,JEC Franklin,0,0,0,0,0,0,4,0,4,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,8,4,SK Raina,DJ Bravo,JEC Franklin,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,8,5,DJ Bravo,SK Raina,JEC Franklin,0,0,0,0,0,0,4,0,4,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,8,6,DJ Bravo,SK Raina,JEC Franklin,0,0,0,0,0,0,4,0,4,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,9,1,SK Raina,DJ Bravo,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,9,2,SK Raina,DJ Bravo,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,9,3,DJ Bravo,SK Raina,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,9,4,DJ Bravo,SK Raina,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,9,5,SK Raina,DJ Bravo,Harbhajan Singh,0,0,0,0,0,0,4,0,4,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,9,6,SK Raina,DJ Bravo,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,10,1,SK Raina,DJ Bravo,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,10,2,DJ Bravo,SK Raina,PP Ojha,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,10,3,DJ Bravo,SK Raina,PP Ojha,0,0,0,0,0,0,4,0,4,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,10,4,DJ Bravo,SK Raina,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,10,5,SK Raina,DJ Bravo,PP Ojha,0,0,0,0,0,0,0,0,0,SK Raina,caught,SL Malinga,2012
308,1,Chennai Super Kings,Mumbai Indians,10,6,DJ Bravo,JA Morkel,PP Ojha,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,11,1,JA Morkel,DJ Bravo,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,11,2,JA Morkel,DJ Bravo,KA Pollard,0,1,0,0,0,0,0,1,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,11,3,JA Morkel,DJ Bravo,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,11,4,DJ Bravo,JA Morkel,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,11,5,JA Morkel,DJ Bravo,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,11,6,JA Morkel,DJ Bravo,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,11,7,DJ Bravo,JA Morkel,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,12,1,DJ Bravo,JA Morkel,PP Ojha,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,12,2,DJ Bravo,JA Morkel,PP Ojha,0,0,0,0,0,0,0,0,0,DJ Bravo,caught,KA Pollard,2012
308,1,Chennai Super Kings,Mumbai Indians,12,3,JA Morkel,S Badrinath,PP Ojha,0,0,0,1,0,0,0,1,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,12,4,S Badrinath,JA Morkel,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,12,5,JA Morkel,S Badrinath,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,12,6,S Badrinath,JA Morkel,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,13,1,S Badrinath,JA Morkel,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,13,2,S Badrinath,JA Morkel,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,13,3,JA Morkel,S Badrinath,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,13,4,JA Morkel,S Badrinath,KA Pollard,0,0,0,0,0,0,0,0,0,JA Morkel,caught,PP Ojha,2012
308,1,Chennai Super Kings,Mumbai Indians,13,5,S Badrinath,MS Dhoni,KA Pollard,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,13,6,S Badrinath,MS Dhoni,KA Pollard,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,14,1,S Badrinath,MS Dhoni,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,14,2,MS Dhoni,S Badrinath,PP Ojha,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,14,3,MS Dhoni,S Badrinath,PP Ojha,0,0,0,0,0,0,1,0,1,,,,2012
